File Name,Total Time,Tempo,Song Key,Instruments,Note Count
11.Metallica-Low Man's Lyric.mid,439.99956,132,0,"35, 69, 40, 110, 26, 27, 29, 30",7082
11.Metallica-Mama Said.mid,288.12488475000004,72,Unknown,"33, 52, 25, 26, 30",5014
11.Metallica-My Friend Of Misery.mid,394.0,120,7,"34, 88, 25, 26, 27, 28, 29",7054
11.Metallica-So What.mid,92.03645833333333,120,0,"26, 35",1768
11.Metallica-The More I See.mid,210.666456,180,Unknown,"81, 30, 33",4511
12.Metallica-Killing Time.mid,175.58424000000002,231,0,"66, 34, 67, 29, 30",5301
12.Metallica-The Struggle Within.mid,226.06349100000003,144,7,"33, 52, 30",6801
12.Metallica-TheThorn Within.mid,347.585952,116,9,"33, 52, 120, 25, 30",5304
1224Ballerina.mid,78.900188,95,Unknown,27,975
13.Metallica-Attitude.mid,497.324443,107,Unknown,"64, 33, 59, 119, 56, 27, 30",7564
13StepsNowhere.mid,223.76027699999997,84,0,"62, 34, 30",4887
14.Metallica-Fixxxer.mid,497.03374699999995,107,0,"33, 59, 119, 56, 27, 30",8264
15.Metallica-Stone Dead Forever.mid,298.65000000000003,99,Unknown,"81, 29, 30, 33",5271
16thCenturyGreensleeves.mid,213.17636399999998,85,Unknown,"33, 68, 90, 29, 30",3183
1979.mid,164.4897766666667,85,Unknown,"0, 33, 64, 72, 73, 48, 25",2063
2.Metallica-And Justice For All.mid,598.9189250000001,96,7,"34, 87, 25, 27, 29, 30",16953
2.Metallica-Master Of Puppets.mid,473.181345,220,7,"33, 42, 27, 29, 30",13682
2000Man.mid,297.726975,132,Unknown,"25, 54",2734
20EyesInMyHead.mid,109.0,120,Unknown,"33, 30",3521
213.mid,275.83439,80,Unknown,"34, 27, 30",7198
21stCenturySchizoidMan.mid,371.2140665000001,75,Unknown,"33, 66, 29, 30",7775
22_Acacia_Avenue.mid,390.734362,160,7,"33, 52, 29, 30",10077
23.mid,220.749834,120,Unknown,"34, 29, 30",3735
2am.mid,325.7015833333333,60,Unknown,"33, 52, 25, 27, 29, 30",5126
2OutOf3AintBad.mid,331.4248352968751,77,9,"32, 1, 27",3218
2_Minutes_To_Midnight.mid,360.74362266666674,188,0,"33, 52, 29, 30",9111
3.Metallica-Eye Of The Beholder.mid,382.0422466666667,124,7,"33, 52, 30",11261
3.Metallica-The Thing That Should Not Be.mid,372.41352,116,7,"33, 81, 25, 29, 30",5195
321.mid,228.93581349583334,130,Unknown,"33, 29, 30",6958
36.mid,42.8571,140,Unknown,"33, 30",456
4.Metallica-Welcome Home (Sanatorium).mid,208.16296,98,0,"61, 30",2201
4000RainyNights.mid,343.57112,60,Unknown,"33, 48, 52, 25, 30",3616
4thOfJuly.mid,300.84492,71,Unknown,"29, 30",1539
5.Metallica-Disposable Heroes.mid,463.59407025,190,7,"33, 52, 30",15014
515.mid,59.294087999999995,85,Unknown,27,112
5MinutesAlone.mid,334.8,100,7,"34, 29, 30",4855
6.Metallica-Harvester Of Sorrow.mid,380.71390499999995,84,7,"34, 87, 27, 29, 30",8390
6.Metallica-Leper Messiah.mid,335.734712,136,7,"33, 29, 30, 87",6885
69Tea.mid,212.16195,111,Unknown,"34, 29",5666
6Oclock.mid,328.50875,100,0,"33, 34, 6, 70, 20, 54, 25, 27, 28, 30, 31",8419
7.Metallica-Orion.mid,484.16071,128,7,"33, 27, 29, 30",8236
7.Metallica-The Frayed Ends Of Sanity.mid,211.69028203125,119,Unknown,"33, 30",5214
7StringSong.mid,77.25,160,Unknown,30,1229
"8.Metallica-Damage,Inc.mid",301.28200203125,70,7,"33, 52, 30",9453
8.Metallica-To Live Is To Die.mid,610.3851082187504,56,Unknown,"109, 81, 88, 27, 30",5500
9.Metallica-Dyers Eve.mid,301.87232800000004,203,Unknown,"80, 36, 29, 30",10678
914.mid,246.6632722291667,90,Unknown,"88, 81, 80, 87",3695
99.mid,228.666438,180,Unknown,"34, 30",7030
9Tenn90Nine.mid,233.3,96,Unknown,"33, 29, 30",3904
A.D.D..mid,182.72709,220,Unknown,"50, 30",1476
A.D.I.D.A.S..mid,152.981775125,110,Unknown,"34, 26, 30, 95",2682
Abigail.mid,286.0,150,Unknown,"34, 29, 30, 7",7679
AbolishGovernmentΓÇôSuperficialLove.mid,111.81807,220,Unknown,"34, 30",3806
AbominableDrPhibes.mid,167.10338000000002,120,Unknown,"33, 29, 30",4567
AboutToCrash(Reprise).mid,241.737705,155,Unknown,"0, 33, 11, 12, 14, 80, 48, 50, 49, 52, 62, 92, 61, 30",5202
AboutToCrash.mid,357.72883874999997,153,Unknown,"0, 33, 41, 48, 80, 30",5548
AbsenceOfLight.mid,278.18204999999995,109,10,"0, 33, 16, 81, 50, 29, 30",6175
Abysmal.mid,272.64,125,Unknown,"25, 30, 33",3588
AbyssOfTheVoid.mid,358.54767000000004,124,Unknown,"34, 68, 48, 52, 25, 30",8713
AcceptThePain.mid,183.75,128,Unknown,"34, 5, 90, 29, 30",2573
AccessibleLosses.mid,534.75,120,Unknown,"34, 29, 30",14153
AccoladeIi.mid,454.55871466666656,115,2,"0, 1, 34, 40, 48, 49, 88, 25, 29",7554
AcesHigh.mid,251.25256500000003,160,Unknown,"80, 34, 48, 30",7790
Aces_High.mid,277.30497249999996,160,9,"33, 53, 30",7036
AchingHunger.mid,251.81051999999997,127,Unknown,"27, 85, 30",2009
AcidRain.mid,393.4361463916667,145,Unknown,"33, 2, 12, 81, 85, 29, 30",13526
AcousticMedley.mid,138.0,120,Unknown,"24, 25, 49",2548
